"","healthy_store_market","borough","year","address","latitude","longitude"
"30","Modern Food","Bronx",2013,"2385 Arthur Avenue",40.855237,-73.887849
"31","Mickey & Elvis College","Bronx",2013,"717 East 187th Street",40.854025,-73.883997
"32","Bronx Zoo Deli Corp","Bronx",2013,"732 East 187th Street",40.85375,-73.883112
"33","548 Gourmet Deli","Bronx",2013,"548 East 183rd Street",40.854186,-73.891042
"34","Danery's Grocery Corp.","Bronx",2013,"765 East 175th Street",40.841486,-73.891125
"35","Will Grocery & Meat Market","Bronx",2013,"1492 Vyse Avenue",40.833029,-73.888186
"36","A & G Gourmet Deli","Bronx",2013,"2132 Mohegan Avenue",40.84641,-73.882688
"37","Caña Arriba","Bronx",2013,"1465 Bryant Avenue",40.831953,-73.887823
"38","885 East Tremont Deli","Bronx",2013,"885 East Tremont Avenue",40.842463,-73.885123
"39","Tejada Castillo Food Corporation","Bronx",2013,"1675 Boston Road",40.836404,-73.889409
"40","Tony's Family","Bronx",2013,"526 East 183rd Street",40.854678,-73.891945
"41","20/20 Deli","Bronx",2014,"1120 Southern Boulevard",40.827058,-73.891896
"42","543 Deli","Bronx",2014,"543 Southern Boulevard",40.812296,-73.90361
"43","908 Garcia Fruit and Grocery","Bronx",2014,"908 East 163rd Street",40.821006,-73.898026
"44","Alan Deli Grocery","Bronx",2014,"798 East 170th Street",40.833138,-73.89559
"45","Amelia Grocery","Bronx",2014,"954 Prospect Avenue",40.822611,-73.900391
"46","Asociados Meat Market","Bronx",2014,"1025 Westchester Avenue",40.824114,-73.893017
"47","Associated Supermarket","Bronx",2014,"1334 Louis Nine Boulevard",40.831535,-73.892337
"48","Celia","Bronx",2014,"966 Longwood Avenue",40.817424,-73.898101
"49","Crystal Grocery","Bronx",2014,"1090 Longfellow Avenue",40.826005,-73.887826
"50","Deli Farm Meat and Grocery","Bronx",2014,"850 Longwood Avenue",40.819376,-73.901378
"51","El Patio Grocery","Bronx",2014,"643 Wales Avenue/766 E 152 ST",NA,NA
"52","Fair Farm","Bronx",2014,"950 Westchester Avenue",40.822388,-73.896326
"53","Genao Food Store","Bronx",2014,"926 Intervale Avenue",40.819868,-73.896605
"54","Home Street Deli","Bronx",2014,"892-894 Home Street",40.828317,-73.89464
"55","Ivoire African Market","Bronx",2014,"1339 Prospect Avenue",40.829569,-73.897522
"56","J&W Food Center","Bronx",2014,"990 Leggett Avenue",40.814565,-73.899875
"57","Los Hermanos Meat & Grocery","Bronx",2014,"501B Jackson Avenue",40.812032,-73.909517
"58","Luis & Angie Deli Grocery","Bronx",2014,"976 Prospect Avenue",40.823362,-73.900079
"59","Paulino Deli Grocery","Bronx",2014,"798 Hunts Point Avenue",40.816509,-73.887878
"60","REAL Supermarket","Bronx",2014,"818 Westchester Ave. (795 Prospect Ave.)",40.819173,-73.902571
"61","Salgados Superette","Bronx",2014,"1131 West Farms Road",40.82643,-73.890307
"62","South Side Food","Bronx",2014,"726 East 152nd Street",40.816005,-73.907976
"63","Super Deli Grocery Store","Bronx",2014,"740 East 149th Street",40.813082,-73.908389
"64","Top Quality","Bronx",2014,"1019 SIimpson Street",NA,NA
"65","Torres Meat & Grocery","Bronx",2014,"950 Longwood Avenue",40.817614,-73.898415
"66","Union Foods","Bronx",2014,"835 East152nd Street",40.815242,-73.904242
"67","VR Vegetable N Grocery","Bronx",2014,"928 Sothern Boulevard",NA,NA
"68","3368 Cypress Deli & Grocery","Brooklyn",2015,"3368 Fulton Street",40.683854,-73.871439
"69","Apple Deli and Grill","Brooklyn",2015,"1203 Sutter Avenue",40.672551,-73.873509
"70","Bangla Supermarket","Brooklyn",2015,"1211 Liberty Avenue",40.678988,-73.864858
"71","Claribel Deli & Grocery","Brooklyn",2015,"241 Ridgewood Avenue",40.683696,-73.87966
"72","Dari's Grocery","Brooklyn",2015,"224 Lincoln Avenue",40.684755,-73.869599
"73","Decayagua Deli Grocery","Brooklyn",2015,"290 Arlington Avenue",40.680961,-73.883826
"74","Dumont Deli & Grocery","Brooklyn",2015,"690 Linwood St.",40.668497,-73.88122
"75","Four Star Supermarket","Brooklyn",2015,"1075 Liberty Avenue",40.678354,-73.869546
"76","Fulton Gourmet Deli and Grill","Brooklyn",2015,"3336 Fulton St",40.683548,-73.872518
"77","J and J Grocery","Brooklyn",2015,"1055 Blake Avenue",40.670136,-73.879335
"78","J R Grocery","Brooklyn",2015,"944 Hegeman Avenue",40.665825,-73.877941
"79","J.T. Deli Grocery","Brooklyn",2015,"1145 Glenmore Avenue",40.677497,-73.866563
"80","Los Chamona Deli Grocery","Brooklyn",2015,"576 Ridgewood Avenue",40.686622,-73.867839
"81","Luna Grocery","Brooklyn",2015,"1082 Hegeman Avenue",40.667838,-73.873244
"82","MACO Food Corp.","Brooklyn",2015,"1018 Belmont Avenue",40.674146,-73.871458
"83","Melendez Deli Grocery","Brooklyn",2015,"145 Euclid Avenue",40.685225,-73.874621
"84","Mike's Grocery Corp.","Brooklyn",2015,"1268 Sutter Avenue",40.672872,-73.871161
"85","My Neighborhood Grocery","Brooklyn",2015,"385 Chestnut Street",40.677517,-73.873983
"86","New Way Grocery","Brooklyn",2015,"145 Ridgewood Avenue",40.68303,-73.883368
"87","Reyes & G Mini Market","Brooklyn",2015,"120 Autumn Avenue",40.687414,-73.871065
"88","Sutter Grocery","Brooklyn",2015,"978 Sutter Avenue",40.671237,-73.882578
"89","1879 Deli Carter Corp","Bronx",2015,"1879 Carter Avenue",40.847427,-73.901861
"90","Anthony's Place Deli Grocery","Bronx",2015,"306 East 178 Street",40.849999,-73.902497
"91","Aurora Deli Grocery","Bronx",2015,"150 East 174 STREET",40.844842,-73.909679
"92","C & T Deli Grocery","Bronx",2015,"2275 Washington Avenue",40.854929,-73.89342
"93","Concourse Food Plaza","Bronx",2015,"2096 Grand Concourse",40.854042,-73.902295
"94","C-Town","Bronx",2015,"229 East Tremont Avenue",40.848997,-73.904772
"95","Deli Grocery","Bronx",2015,"2236 Grand Concourse",40.856256,-73.90064
"96","El Abanico Deli Grocery Corp.","Bronx",2015,"214 East 180 Street",40.853232,-73.901971
"97","Fresh Food Deli Grocery","Bronx",2015,"2179 Washington Avenue",40.853505,-73.89442
"98","J.J.N. Corp Deli Grocery","Bronx",2015,"1512 Washington Avenue",40.837956,-73.90315
"99","Jade Food Center","Bronx",2015,"3822 3 AVENUE",40.837875,-73.901412
"100","Los Primos Grocery","Bronx",2015,"1965 Webster Avenue",40.849462,-73.899949
"101","Mills Grocery","Bronx",2015,"1570 Bathgate Avenue",40.838762,-73.901563
"102","Naranjal Grocery","Bronx",2015,"200 East Tremont Avenue",40.84911,-73.905415
"103","Omale New York Grocery","Bronx",2015,"2172 Crotona Avenue",40.850259,-73.88648
"104","Vasquez Deli Grocery","Bronx",2015,"1959 Clinton Avenue",40.845028,-73.890002
"105","Webster Food Corp","Bronx",2015,"2031 Webster Avenue",40.85091,-73.899032
"106","Almontaser Enterprises LLC","Brooklyn",2016,"2792 Fulton Street",40.678053,-73.891478
"107","Habibi Gourmet Deli","Brooklyn",2016,"2761 Fulton Street",40.677879,-73.892772
"108","J & K Grocery","Brooklyn",2016,"2737 Fulton Street",40.677742,-73.893678
"109","La Vega Grocery","Brooklyn",2016,"2772 Fulton Street",40.677936,-73.892268
"110","Marien Groceries Corp.","Brooklyn",2016,"99 Jamaica Avenue",40.678656,-73.896416
"111","One Apple Grocery Store","Brooklyn",2016,"609 Wilson Avenue",40.69016,-73.907173
"112","Plaza Meat Market","Brooklyn",2016,"100 Cooper Street",40.68619,-73.908898
"113","Shorty Meat Farm","Brooklyn",2016,"2949 Fulton Street",40.679552,-73.885909
"114","Sunny Supermarket","Brooklyn",2016,"200 Jamaica Avenue",40.68039,-73.892682
"115","VLT Mini Market Inc.","Brooklyn",2016,"2837 Fulton Street",40.678348,-73.889747
"116","Comidas Dominicanas Capellan Deli","Manhattan",2015,"1626 Park Avenue",40.798917,-73.943533
"117","Deli Superette","Manhattan",2015,"1858 Lexington Avenue",40.798118,-73.942006
"118","Puchito Grocery","Manhattan",2015,"2122 2nd Avenue",40.792642,-73.940956
"119","Annabelle Deli","Manhattan",2015,"2121 2nd Avenue",40.792729,-73.940913
"120","Juice Bar Deli","Manhattan",2015,"308 East 116th Street",40.796768,-73.937236
"121","AA Deli and Grocery","Manhattan",2015,"21012 2nd Avenue",NA,NA
"122","Mini Market Corps","Manhattan",2015,"1690 Lexington Avenue",40.79235,-73.946215
"123","Madison Deli and Grocery","Manhattan",2015,"1550 Madison Avenue",40.792753,-73.950144
"124","El Tepeyac Grocery","Manhattan",2015,"1621 Lexington Avenue",40.789922,-73.947961
"125","Mi Mexico Mini Market","Manhattan",2015,"172 East 104th Street",40.790605,-73.946469
"126","East Side Gourmet Deli","Manhattan",2015,"1863 3rd Avenue",40.789515,-73.946163
"127","2015 Food Deli","Manhattan",2015,"2015 1st Avenue",40.788176,-73.941133
"128","JJ Food  Market","Manhattan",2015,"153 East 99th Street",40.78771,-73.949288
"129","Deli Mini Mart","Manhattan",2015,"339 East 115th Street",40.79565,-73.936703
"130","Cherry Deli Gourmet","Manhattan",2015,"1575 Lexington Avenue",40.78874,-73.948825
"131","Cherry Valley Market","Manhattan",2015,"309 East 115th Street",40.796167,-73.937941
"132","Super Fi Emporium","Manhattan",2015,"1635 Lexington Avenue",40.790501,-73.947538
"133","NYC Fresh Market","Manhattan",2015,"1656 Madison Avenue",40.796358,-73.947512
"134","Fine Fare","Manhattan",2015,"1718 Madison Avenue",40.798265,-73.94612
"135","City Fresh Market","Manhattan",2015,"235 East 106th Street",40.791026,-73.943359
"136","1408 Deli & Grocery Corp.","Bronx",2016,"1408 Fulton Avenue",40.834741,-73.901771
"137","2009 Melissa Deli Corp.","Bronx",2016,"621 East 170th Street",40.834199,-73.900167
"138","99 Cent Deli Square","Bronx",2016,"3754 3rd AVE",40.836328,-73.902603
"139","Associated Supermarket","Bronx",2016,"724 East 161st Street",40.821432,-73.905183
"140","Baraka African Market","Bronx",2016,"1345 Webster Avenue",40.835103,-73.908051
"141","College Ave.  Deli and Market Inc.","Bronx",2016,"288 East 168th Street",40.833333,-73.912802
"142","First Food Market","Bronx",2016,"3706 3rd Avenue",40.835694,-73.903052
"143","Food Bazaar","Bronx",2016,"535 East 170th Street",40.834931,-73.903144
"144","Key Food Supermarket.","Bronx",2016,"340 Pennsylvania Avenue",NA,NA
"145","La Hermadad Supermarket Inc.","Bronx",2016,"193 McClellan Street",40.832698,-73.917847
"146","M&G Food Corp.","Bronx",2016,"391 East 167th Street",40.830862,-73.910897
"147","Soumandji Meat Fish Market","Bronx",2016,"381 East 169th Street",40.834317,-73.909953
"148","Z&F Deli Grocery","Bronx",2016,"3321 Third Avenue",40.826215,-73.907857
"149","Angelic Grocery and Deli Corp","Brooklyn",2016,"305 Jerome St",40.67425,-73.886974
"150","Dama Food Market","Brooklyn",2016,"2303 Pitkin Avenue",40.673169,-73.887315
"151","Danilo's Corp Deli Grocery","Brooklyn",2016,"731 Schenck Avenue",40.662374,-73.884828
"152","George Deli & Grocery","Brooklyn",2016,"710 Georgia Avenue",40.659602,-73.893566
"153","JLC Deli Grocery","Brooklyn",2016,"653 Liberty Avenue",40.676038,-73.885551
"154","Melissa Meat Market","Brooklyn",2016,"772 Sutter Avenue",40.670122,-73.890085
"155","Quezada Deli Grocery","Brooklyn",2016,"570 Van Siclen Avenue",40.66582,-73.888567
"156","Sajoma Deli Grocery","Brooklyn",2016,"772 Miller Avenue",40.661971,-73.887788
"157","VA Grocery & Deli Corp  
(Brother's Mini Market)","Brooklyn",2016,"207 Hull Street",40.679876,-73.908009
"158","Wild Olive Market","Manhattan",2016,"10 East 125th Street",40.806215,-73.941807
"159","Juan Calito Meat Corp./City Fresh","Manhattan",2016,"2212 3rd Avenue",40.80083,-73.937926
"160","Prince Deli Grocery","Manhattan",2016,"1461 5th Avenue",40.80211,-73.945394
"161","TSM 2ND Ave Gourmet Deli","Manhattan",2016,"248 East 119th street",40.799408,-73.937479
"162","Fine Fare Supermarket","Manhattan",2016,"2330 1st Avenue",40.798278,-73.933731
"163","Viva Deli","Manhattan",2016,"2330 1st Avenue",40.798278,-73.933731
"164","Abdur Sami","Manhattan",2016,"2262 2nd Avenue",40.797155,-73.937651
"165","Mis Hijos","Manhattan",2016,"2401 2nd Avenue",40.801484,-73.934425
"166","Oasis Gourmet Deli","Manhattan",2016,"1966 Madison Avenue",40.806313,-73.94024
"167","Tasty Pick Deli & Grocery","Manhattan",2016,"1878 Lexington Avenue",40.799256,-73.941171
"168","K&O Deli Grocery","Manhattan",2016,"2288 2nd Avenue",40.797964,-73.937061
"169","Finest Food Corp","Manhattan",2016,"315 Pleasant Avenue",40.795599,-73.932769
"170","2001 GOURMET DELI","Bronx",2017,"2001 CLINTON AVE",40.846375,-73.888858
"171","347 CHABELY DELI GROCERY","Bronx",2017,"347 E 173RD ST",40.84345,-73.905202
"172","ALFONSOS DELI & GROCERY","Bronx",2017,"2236 GRAND CONCOURSE",40.856256,-73.90064
"173","AMIGOS GROCERY","Bronx",2017,"551 EAST 172ND ST",40.839504,-73.899545
"174","FELINO GROCERY","Bronx",2017,"1836 ANTHONY AVE",40.847412,-73.903704
"175","FELOMAR GROCERY STORE","Bronx",2017,"154 E 175TH ST",40.846798,-73.908111
"176","HABIBI DELI","Bronx",2017,"2070 CLINTON AVE",40.847236,-73.888101
"177","LOS PALMARITOS DELI GROCERY","Bronx",2017,"2080 VALENTINE AVE",40.852753,-73.899897
"178","PAULINO GROCERY","Bronx",2017,"4378 3RD AVE",40.850821,-73.893958
"179","SAER & JAMAL MARKET 2","Bronx",2017,"563 E TREMONT AVE",40.846509,-73.894814
"180","CONCOURSE FOOD PLAZA","Bronx",2017,"2096 GRAND CONCOURSE",40.854042,-73.902295
"181","305 GROCERY DELI","Bronx",2017,"305 EAST 181ST ST",40.854045,-73.899172
"182","551 REY FOOD","Bronx",2017,"551 E 178TH ST",40.847528,-73.894599
"183","ALANTE ALANTE DELI GROCERY","Bronx",2017,"207 MT HOPE PL",40.848385,-73.905951
"184","BANESA DELI GROCERY 2","Bronx",2017,"2007 ANTHONY AVE",40.851468,-73.902885
"185","BODEGA BUILT","Bronx",2017,"601 EAST 180TH STREET",40.849394,-73.891375
"186","CHICKEN DELI GROCERY","Bronx",2017,"555 EAST 180TH ST",40.850351,-73.893326
"187","JJN CORP","Bronx",2017,"1512 WASHINGTON AVE",40.837956,-73.90315
"188","LOS PRIMOS DELI GROCERY","Bronx",2017,"1798 CROTONA AVE",40.842792,-73.893526
"189","ZAEL DELI & GROCERY","Bronx",2017,"2160 TIEBOUT AVE",40.854091,-73.898554
"190","FINE FARE SUPERMARKET","Bronx",2017,"708 E TREMONT AVE",40.845227,-73.890771
"191","C & T DELI GROCERY STORE","Bronx",2017,"2275 WASHINGTON AVE",40.854929,-73.89342
"192","C-TOWN","Bronx",2017,"309 E BURNSIDE AVE",40.850588,-73.901133
"193","LOS PRIMOS GROCERY","Bronx",2017,"1965 WEBSTER AVE",40.849462,-73.899949
"194","269 MINI MARKET & DELI","Bronx",2017,"269 E BURNSIDE AVE",40.851333,-73.902133
"195","JR 2121 DELI GROCERY","Bronx",2017,"2121 BELMONT AVE",40.849172,-73.889446
"196","BBB DELI GROCERY","Bronx",2017,"214B E 180TH ST",40.853232,-73.901971
"197","DIAZ DELI GROCERY","Bronx",2017,"306 E 178TH ST",40.849999,-73.902497
"198","LA ANTILLANA MEAT WAREHOUSE","Bronx",2017,"245 E TREMONT AVE",40.848922,-73.904407
"199","JADE FOOD CENTER","Bronx",2017,"3822 3RD AVE",40.837875,-73.901412
"200","OJ DELI GROCERY","Bronx",2017,"230 E 174TH ST",40.84472,-73.907427
"201","LA BODEGUITA DE ROSAURA","Bronx",2017,"160 E 174TH ST",40.844817,-73.909238
"202","EXPRESS MARKET","Bronx",2017,"469 E TREMONT AVE",40.847075,-73.898247
"203","3 Sisters Deli Grocery","Brooklyn",2017,"269 Dumont Ave",40.664065,-73.909566
"204","702 Livonia Ave Deli","Brooklyn",2017,"702 Rockaway Ave",40.662769,-73.908984
"205","Chester Food Market","Brooklyn",2017,"241 Blake Ave",40.665518,-73.910487
"206","MJT Grocery Store","Brooklyn",2017,"666 Rockaway Ave",40.663255,-73.909106
"207","Blessings Food Corp.","Brooklyn",2017,"578 Rockaway Ave",40.665951,-73.909795
"208","Rockaway Deli Food Corp.","Brooklyn",2017,"674 Rockaway Ave",40.663148,-73.909077
"209","El Especial Deli & Gril","Brooklyn",2017,"774 Rockaway Ave",40.66071,-73.908457
"210","Friendly Food & Grocery","Brooklyn",2017,"784 Saratoga Ave",40.661305,-73.91542
"211","Sanaa Express Grocery","Brooklyn",2017,"245 Riverdale Ave",40.661129,-73.907812
"212","Cherry Valley","Brooklyn",2017,"381 Mother Gaston Blvd",40.669745,-73.906859
"213","Jamao Grocery","Brooklyn",2017,"174 Blake Ave",40.665097,-73.913206
"214","Los Primos Grocery","Brooklyn",2017,"57 Sutter Ave",40.665613,-73.920587
"215","39 Lott Grocery","Brooklyn",2017,"39 Lott Ave",40.657233,-73.912564
"216","51 Deli & Grocery NYC","Brooklyn",2017,"51 Hegeman Ave",40.655828,-73.910331
"217","77 Hegeman Mini Market","Brooklyn",2017,"77 Hegeman Ave",40.655981,-73.909322
"218","Glen Deli & Grocery","Brooklyn",2017,"55 Hegeman Ave",40.655883,-73.909981
"219","Associated supermarket","Brooklyn",2017,"103 Hegeman Ave",40.656153,-73.908172
"220","Hidayat Deli Grocery","Brooklyn",2017,"1111 Rutland Rd",40.664805,-73.923119
"221","T&L Deli & Grocery","Brooklyn",2017,"1067 Rutland Rd",40.663944,-73.924439
"222","Bravo Supermarket","Brooklyn",2017,"80 E 93Rd St",40.662455,-73.926964
"223","Associated Supermarket","Brooklyn",2017,"190 E 98th St",40.66264,-73.92032
"224","Boston MiniMarket","Brooklyn",2017,"9424 Kings Highway",40.658474,-73.920581
"225","Clarkson Food","Brooklyn",2017,"1125 Clarkson Ave",40.660467,-73.92113
"226","New Way Supermarket","Brooklyn",2017,"1167 Lenox Rd",40.659951,-73.917592
"227","Star Two Deli","Brooklyn",2017,"994 Winthrop St",40.659738,-73.926577
"228","Ameer Food Market","Brooklyn",2017,"9527 Church Ave",40.655331,-73.916044
"229","El Flaco Food","Brooklyn",2017,"1093 Linden Blvd",40.654327,-73.917775
"230","La Linda Deli Grocery","Brooklyn",2017,"1157 Willmohr St",40.658163,-73.915979
"231","9323 Linden Deli Food","Brooklyn",2017,"9323 Church Ave",40.654538,-73.917263
"232","420 Royal Deli","Brooklyn",2017,"420B Mother Gaston Blvd",40.668668,-73.906604
"233","Leonardo Deli Grocery","Brooklyn",2017,"441 Mother Gaston Blvd",40.668248,-73.906479
"234","C-Town","Brooklyn",2017,"29 Belmont Ave",40.668607,-73.909221
"235","Moreno Mini Market","Brooklyn",2017,"113 Belmont Ave",40.669077,-73.906038
"236","Bridge Deli & Grocery","Brooklyn",2017,"1861 Pitkin Ave",40.670686,-73.904064
"237","Eye Deli & Grocery","Brooklyn",2017,"1540 E New York Ave",40.672108,-73.911243
"238","Family Express Deli & Grocery","Brooklyn",2017,"112 Watkins St",40.670289,-73.90803
"239","Golden Deli","Brooklyn",2017,"1569 E New York Ave",40.672599,-73.910121
"240","New Friends Gourmet Deli","Brooklyn",2017,"1788 Pitkin Ave",40.670222,-73.907074
"241","Yoha Mini Market","Brooklyn",2017,"78 Thatford Ave",40.670019,-73.909865
"242","Pitikin Ave Deli & Grocery","Brooklyn",2017,"1801 Pitkin Ave",40.670326,-73.906487
"243","Ideal Food Basket","Brooklyn",2017,"1488 Pitkin Ave",40.668494,-73.91872
"244","Caba Deli Grocery","Brooklyn",2017,"1419 E New York Ave",40.67024,-73.915567
"245","El Cibao","Brooklyn",2017,"38 Herzl St",40.669062,-73.915457
"246","Shop Fair Supermarket","Brooklyn",2017,"256 Livonia Ave",40.662618,-73.908433
"247","Food Bazaar","Brooklyn",2017,"417 Junius St",40.664415,-73.901629
"248","Pioneer Supermarket","Brooklyn",2017,"455 Sutter Ave",40.66833,-73.90229
"249","Airon Food Market","Brooklyn",2017,"44 New Lots Ave",40.657215,-73.903452
"250","Giselle Mini Market","Brooklyn",2017,"1697 E New York Ave",40.674615,-73.905514
"251","Powell Supermarket","Brooklyn",2017,"323 Powell St",40.666434,-73.90314
"252","Green Village Meat Farm","Brooklyn",2017,"229 Tapscott St",40.662211,-73.919589
"253","Anabelle Deli Grocery","Manhattan",2017,"2121 2nd Ave",40.792729,-73.940913
"254","Cherry Gourmet Deli","Manhattan",2017,"1575 Lexington Ave",40.78874,-73.948825
"255","Cherry Valley Supermarket","Manhattan",2017,"1968 2nd Ave",40.787585,-73.944655
"256","Dave’s Gourmet","Manhattan",2017,"1944 1st Ave",40.786099,-73.942612
"257","Family 1st Deli","Manhattan",2017,"2105 1st Ave",40.791007,-73.939069
"258","Gold Deli","Manhattan",2017,"126 E 103rd St.",40.790581,-73.948343
"259","L&O Deli Grocery","Manhattan",2017,"1618 Madison Ave",40.795008,-73.948495
"260","La Constenita Grocery","Manhattan",2017,"2175 2nd Ave",40.794249,-73.939799
"261","Luna Food Market","Manhattan",2017,"2121 1st Ave",40.791658,-73.938591
"262","Lucky Corner Deli & Pro","Manhattan",2017,"2137 2nd Ave",40.793056,-73.94067
"263","Mr. Moe’s Deli","Manhattan",2017,"2001 3rd Ave",40.793985,-73.942905
"264",".NYC Fresh Market","Manhattan",2017,"1660 Madison Ave",40.796457,-73.947439
"265","Puchito Grocery","Manhattan",2017,"2122 2nd Ave",40.792642,-73.940956
"266","Raspberry Deli","Manhattan",2017,"2127 2nd Ave",40.792853,-73.940822
"267","East Harlem Grocery","Manhattan",2017,"85 E 110th St.",40.795771,-73.946725
"268","Sun & Moon Deli","Manhattan",2017,"142 E 112th St.",40.796145,-73.943676
"269","Garden Gourmet","Manhattan",2017,"2019 1st Ave",40.788417,-73.94096
"270","2037 Meat & Grocery","Manhattan",2017,"2037 2nd Ave",40.789717,-73.943111
"271","Oxford 2 Deli Grocery","Manhattan",2017,"2024 2nd Ave",40.789379,-73.943332
"272","Fine Fare Supermarket","Manhattan",2017,"1891 3rd Ave",40.790544,-73.945411
"273","Asunan Inc.","Manhattan",2017,"1665 Lexington Ave",40.79131,-73.946949
"274","1705 Deli Grocery","Manhattan",2017,"1705 Lexington Ave",40.792765,-73.945886
"275","Lex & 103rd Inc.","Manhattan",2017,"1629 Lexington Ave",40.790216,-73.947744
"276","Ranch Market","Manhattan",2017,"1635 Lexington Ave",40.790501,-73.947538
"277","Uptown Supermarket","Manhattan",2017,"1588 Madison Ave",40.793982,-73.949243
"278","El Tepeyac","Manhattan",2017,"1621 Lexington Ave",40.789922,-73.947961
"279","Super Fi Emporium","Manhattan",2017,"1635 Lexington Ave",40.790501,-73.947538
"280","Manhattan Haat Baazar","Manhattan",2017,"165 East 106th St.",40.791966,-73.945594
"281","Cappellan Deli Grocery","Manhattan",2017,"1626 Park Ave",40.798917,-73.943533
"282","Third Avenue Gourmet","Manhattan",2017,"2105 Third Ave",40.797447,-73.94037
"283","El Barrio Superette","Manhattan",2017,"1858 Lexington Ave",40.798118,-73.942006
"284","New King Deli Grocery Corp.","Manhattan",2017,"23 East 115th St.",40.799415,-73.945645
"285","Little Mexico Meat Grocery","Manhattan",2017,"2119 Third Ave",40.797752,-73.94015
"286","Paniagua Deli Grocery","Manhattan",2017,"203 East 115th St.",40.797233,-73.940432
"287","JJ Food Market","Manhattan",2017,"153 East 99th St.",40.78771,-73.949288
"288","Family Deli & Grill","Manhattan",2018,"2266 1st Avenue",40.796341,-73.935152
"289","Taino Sunrise Corp","Manhattan",2018,"2254 Third Avenue",40.802142,-73.936967
"290","Natural Food Deli Inc.","Manhattan",2018,"2181 3rd Avenue",40.79979,-73.938645
"291","Harlem Health Food Gourment","Manhattan",2018,"2239 1st Avenue",40.795419,-73.935847
"292","1663 Park Avenue Mini Market Corp","Manhattan",2018,"1663 Park Avenue",40.800201,-73.942557
"293","NYC Grill","Manhattan",2018,"1938 Madison Avenue",40.805328,-73.940974
"294","Prince Deli Grocery Corp","Manhattan",2018,"1461 5th Avenue",40.80211,-73.945394
"295","Grab & Go Food Inc.","Manhattan",2018,"2096 5th Avenue",40.808827,-73.940512
"296","Wild Olive Inc.","Manhattan",2018,"10 East 125th Street",40.806215,-73.941807
"297","1886 Park Avenue Food Corp","Manhattan",2018,"1886 Park Avenue",40.80722,-73.937468
"298","Exquisite Grill Deli","Manhattan",2018,"521 Lenox Avenue",40.814873,-73.940311
"299","Key Food Supermarket","Manhattan",2018,"592 Lenox Avenue",40.817088,-73.938669
"300","551 Deli & Grocery","Manhattan",2018,"551 Lenox Avenue",40.815935,-73.939534
"301","AJ Food Center Inc.","Manhattan",2018,"1 West 131 Street",40.810416,-73.939961
"302","Associated Supermarket","Manhattan",2018,"448 Lenox Avenue",40.812396,-73.942095
"303","477 Food Corp","Manhattan",2018,"477 Lenox Avenue",40.813274,-73.94148
"304","2082 Food Corp. Deli","Manhattan",2018,"2082 Madison Avenue",40.809627,-73.93782
"305","1797 DELI GROCERY","Brooklyn",2018,"1797 Prospect Place",40.672486,-73.916441
